asin,categories/0/0,description,title,price,salesRank/Books,imUrl,genre
000100039X,Books,"In a distant, timeless place, a mysterious prophet walks the sands. At the moment of his departure, he wishes to offer the people gifts but possesses nothing. The people gather round, each asks a question of the heart, and the mans wisdom is his gift. It is Gibrans gift to us, as well, for Gibrans prophet is rivaled in his wisdom only by the founders of the worlds great religions. On the most basic topics--marriage, children, friendship, work, pleasure--his words have a power and lucidity that in another era would surely have provoked the description divinely inspired. Free of dogma, free of power structures and metaphysics, consider these poetic, moving aphorisms a 20th-century supplement to all sacred traditions--as millions of other readers already have.--Brian Bruya--This text refers to theHardcoveredition.",The Prophet,3.99,587803,http://ecx.images-amazon.com/images/I/81ZKLPivYUL.jpg,Philosophy
61122416,Books,,The Alchemist,5.99,14,http://ecx.images-amazon.com/images/I/41MhCmVyadL.jpg,Fiction
62509594,Books,"If Rumi is the most-read poet in America today, Coleman Barks is in good part responsible. His ear for the truly divine madness in Rumis poetry is truly remarkable. --Huston Smith, author ofThe Worlds ReligionsPerhaps the world&#39;s greatest spiritual poet--the gold of Rumipours down through Coleman&#39;s words. The words leap off thepage and dance!  ---- Jack Kornfield, author ofA Path with HeartPerhaps the worlds greatest spiritual poet--the gold of Rumi pours down through Colemans words. The words leap off the page and dance! --Jack Kornfield, author ofA Path with HeartThe Essential Rumiis a rare and precious book that will stir the hearts of Rumi devotees and win many new converts. --Body Mind Spirit","The Essential Rumi, New Expanded Edition",9.75,2760,http://ecx.images-amazon.com/images/I/911zs3wN43L.jpg,Spiritual
60527986,Books,"This companion volume to Coelhos popular The Alchemist is an odd hybrid-a self-help manual with fictional overtones; a series of aphorisms and platitudes set within the frame of the sketchiest of parables. In the parable, a boy meets a beautiful woman at a beach, who proceeds to tell him about a hidden undersea temple near a vanished island. The boy fails in his initial attempt to find the temple, though he hears its bells ring, but later, as a grown man, he again meets the woman, who hands him an empty notebook and directs him to write about the 'Warrior of the Light,' a being who is capable of understanding the miracle of life, of fighting to the last for something he believes in-and of hearing the bells that the waves set ringing on the seabed. Some of the aphorisms that follow have a specific spiritual source-Lao Tzu, Gandhi, Jesus and Rabbi Nachman of Breslov, among others, are quoted. Coelho provides general spiritual inspiration, but he also offers guidance in more mundane matters, explaining the specific motivations behind childish, immature behavior, cowardly moments, feelings of spiritual emptiness and the reluctance to change. Some of these passages are original, but others merely repackage common inspirational fodder. The volume preserves the basic spiritual tone of The Alchemist, but readers expecting comparable depth and substance will be disappointed.Copyright 2003 Reed Business Information, Inc.--This text refers to an out of print or unavailable edition of this title.",Warrior of the Light: A Manual,8.69,4423,http://ecx.images-amazon.com/images/I/51tgA2VJlUL.jpg,Fiction
61687456,Books,"&#8220;An exciting tale.&#8221; (Library Journal)&#8220;A universal quest toward an expanded view of life.&#8221; (Dan Millman, author of THE WAY OF THE PEACEFUL WARRIOR)&#8220;The keys to self-mastery...wrapped in suspense and adventure.&#8221; (Body Mind Spirit)&#8220;Among Latin American writers only Columbia&#8217;s Gabriel Garcia Marquez is more widely read than Brazil&#8217;s Paulo Coelho.&#8221; (The Economist)",The Pilgrimage (Plus),8.26,4401,http://ecx.images-amazon.com/images/I/416PfC%2BKQlL.jpg,Spiritual
006251475X,Books,"Sufis are celebrated in the West for their joy, humor, and devoted worship. Two students of Sufism, James Fadiman and Robert Frager, have collected some of the jewels of Sufic literature, polished them up a bit, and organized them  for ready  contemplation. Rumis poems, Attars stories, Mohammeds terse sayings, and even some moving pieces from contemporary Western devotees makeEssential Sufisma treasury of Sufic literature.  The extensive introduction provides practical context, and preambles to each section set the tone for whats to come. If you havent encountered the wisdom of Sufi mysticism, the material in this book is a good place to start; if you have, its a comfortable place for return.--This text refers to an out of print or unavailable edition of this title.",Essential Sufism,9.78,398810,http://ecx.images-amazon.com/images/I/61Hawic85oL.jpg,Spiritual
60589280,Books,"Once upon a time, there was a prostitute called Maria-thus begins Coelhos latest novel, a book that cannot decide whether it wants to be fairy tale or saga of sexual discovery, so ends up satisfying the demands of neither. In his dedication, bestselling Brazilian novelist Coelho (The Alchemist) tells readers that his book will deal with issues that are harsh, difficult, shocking, but neither his tame forays into S&amp;M nor his rather technical observations about female anatomy and the sad but hardly new fact that many women are dissatisfied with their sex lives will do much to shock American readers. In Maria, however, the author has created a strong, sensual young woman who grabs our sympathy from the first, as she suffers unrequited love as a child, learns a bit about sex as a teenager and, at 19, makes the ill-advised decision to leave Rio on a Swedish strangers promise of fame and fortune. Marias trials and triumphs-she goes from restaurant dancer to high-class prostitute-would make for an entertaining if rather prosaic novel, but Coelho, unfortunately, does not leave it there. Instead, he embarks on a philosophical exploration of sexual love, using Marias increasingly ponderous and pseudo-philosophical diary entries as a means for expounding on the nature of sexual desire, passion and love. At the end, the story boils down to a rather predictable romance tarted up with a few sexy trappings.Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.--This text refers to an out of print or unavailable edition of this title.",Eleven Minutes: A Novel (P.S.),9.69,12388,http://ecx.images-amazon.com/images/I/51qMs1bzFYL.jpg,Fiction
60812451,Books,"Beautiful and accessible; the English, as fluid as melting ice, is a joy to read throughout. ----The New RepublicI have read many translations of this ancient text but Mitchell&#x92;s is by far the best. --James Frey, author of A Million Little Pieces",Tao Te Ching,7.99,8753,http://ecx.images-amazon.com/images/I/518%2BricfPoL.jpg,Fiction
60916095,Books,"Perhaps we would have to go back to Gautama to find another teacher as convincingly austere, as rationally lucid and who, offering nothing but liberation from the self, yet can bring conviction to those who have so often been disappointed. -- Dr. Gerald HeardThe material contained in this volume was originally presented in the form of talks to students, teachers and parents in India, but its keen penetration and lucid simplicity will be deeply meaningful to thoughtful people everywhere, of all ages, and in every walk of life. Krishnamurti examines with characteristic objectivity and insight the expressions of what we are pleased to call our culture, our education, religion, politics and tradition; and he throws much light on such basic emotions as ambition, greed and envy, the desire for security and the lust for power all of which he shows to be deteriorating factors in human society.'-- 'from the Editors Note-- from the Editors Note Krishnamurtis observations and explorations of moderm mans estate are penetrating and profound, yet given with a disarming simplicity and directness. To listen to him or to read his thoughts is to face oneself and the world with an astonishing morning freshness.'--' Anne Morrow Lindbergh-- Anne Morrow Lindberg",Think on These Things,8.89,75605,http://ecx.images-amazon.com/images/I/41MdtYJ9ICL.jpg,Spiritual
62508342,Books,"In 1927, Walter Evans-Wentz published his translation of an obscure Tibetan Nyingma text and called it theTibetan Book of the Dead. Popular Tibetan teacher Sogyal Rinpoche has transformed that ancient text, conveying a perennial philosophy that is at once religious, scientific, and practical. Through extraordinary anecdotes and stories from religious traditions East and West, Rinpoche introduces the reader to the fundamentals of Tibetan Buddhism, moving gradually to the topics of death and dying. Death turns out to be less of a crisis and more of an opportunity. Concepts such as reincarnation, karma, and bardo and practices such as meditation, tonglen, and phowa teach us how to face death constructively. As a result, life becomes much richer. LikeElisabeth Kubler-Ross, Sogyal Rinpoche opens the door to a full experience of death. It is up to the reader to walk through.--Brian Bruya",The Tibetan Book of Living and Dying: The Spiritual Classic &amp; International Bestseller,11.04,4955,http://ecx.images-amazon.com/images/I/71IozSOT8KL.jpg,Spiritual
